log,total_events,max_inactive,min_inactive,ratio,total_mem_bytes,div_mem_bytes,seen_mem_bytes,active_objs,fitness,precision,f1_score,duration_ms
logistics.json,35413,1771,89,0.0503,2723727,507200,48,233,1.0000,1.0000,1.0000,37
logistics.json,35413,1771,177,0.0999,2777199,511104,48,261,1.0000,1.0000,1.0000,37
logistics.json,35413,1771,354,0.1999,2792815,532608,48,324,1.0000,1.0000,1.0000,37
logistics.json,35413,1771,886,0.5003,2760159,509632,48,481,1.0000,1.0000,1.0000,39
logistics.json,35413,1771,1417,0.8001,2787743,508224,48,639,1.0000,1.0000,1.0000,38
logistics.json,35413,1771,1771,1.0000,2760655,501440,48,749,1.0000,1.0000,1.0000,36
logistics.json,35413,3541,0,0.0000,3301991,1097216,48,125,1.0000,1.0000,1.0000,37
logistics.json,35413,3541,177,0.0500,3386455,1104384,48,173,1.0000,1.0000,1.0000,37
logistics.json,35413,3541,354,0.1000,3397415,1114176,48,242,1.0000,1.0000,1.0000,37
logistics.json,35413,3541,708,0.1999,3372295,1092288,48,382,1.0000,1.0000,1.0000,37
logistics.json,35413,3541,1771,0.5001,3451599,1089024,48,767,1.0000,1.0000,1.0000,38
logistics.json,35413,3541,2833,0.8001,3416431,1075648,48,1171,1.0000,1.0000,1.0000,38
logistics.json,35413,3541,3541,1.0000,3444271,1113472,48,1457,1.0000,1.0000,1.0000,37
logistics.json,35413,7083,0,0.0000,4428407,2193152,48,106,1.0000,1.0000,1.0000,38
logistics.json,35413,7083,354,0.0500,4424631,2194880,48,234,1.0000,1.0000,1.0000,39
logistics.json,35413,7083,708,0.1000,4431127,2192000,48,380,1.0000,1.0000,1.0000,38
logistics.json,35413,7083,1417,0.2001,4458215,2214016,48,641,1.0000,1.0000,1.0000,38
logistics.json,35413,7083,3542,0.5001,4667519,2165312,48,1472,1.0000,1.0000,1.0000,38
logistics.json,35413,7083,5666,0.7999,4747103,2171200,48,2290,1.0000,1.0000,1.0000,38
logistics.json,35413,7083,7083,1.0000,4763455,2192192,48,2843,1.0000,1.0000,1.0000,37
logistics.json,35413,17707,0,0.0000,6612295,3796352,48,132,1.0000,1.0000,1.0000,38
logistics.json,35413,17707,885,0.0500,6619831,3796032,48,476,1.0000,1.0000,1.0000,38
logistics.json,35413,17707,1771,0.1000,6624015,3804352,48,810,1.0000,1.0000,1.0000,38
logistics.json,35413,17707,3541,0.2000,6635999,3796288,48,1513,1.0000,1.0000,1.0000,38
logistics.json,35413,17707,8854,0.5000,6693439,3794752,48,3616,1.0000,1.0000,1.0000,38
logistics.json,35413,17707,14166,0.8000,6775647,3790720,48,5749,1.0000,1.0000,1.0000,38
logistics.json,35413,17707,17707,1.0000,6836367,3794368,48,6991,1.0000,1.0000,1.0000,37
logistics.json,35413,35413,35413,1.0000,11638143,8315584,48,13882,1.0000,1.0000,1.0000,34
lrmsCollection.json,28278,0,0,0.0000,2130507,240,48,0,0.4591,0.2511,0.3247,24
lrmsCollection.json,28278,28,0,0.0000,2146659,12888,48,13,0.6108,1.0000,0.7584,28
lrmsCollection.json,28278,28,1,0.0357,2145411,13208,48,13,0.6108,1.0000,0.7584,28
lrmsCollection.json,28278,28,3,0.1071,2146739,13272,48,13,0.6108,1.0000,0.7584,26
lrmsCollection.json,28278,28,6,0.2143,2145747,13272,48,13,0.6108,1.0000,0.7584,27
lrmsCollection.json,28278,28,14,0.5000,2145571,13336,48,13,0.6108,1.0000,0.7584,26
lrmsCollection.json,28278,28,22,0.7857,2146019,13272,48,13,0.6108,1.0000,0.7584,27
lrmsCollection.json,28278,28,28,1.0000,2146851,13336,48,13,0.6108,1.0000,0.7584,24
lrmsCollection.json,28278,141,0,0.0000,2202735,60696,48,52,0.5163,0.7687,0.6177,28
lrmsCollection.json,28278,141,7,0.0496,2199647,59480,48,52,0.5163,0.7687,0.6177,28
lrmsCollection.json,28278,141,14,0.0993,2201087,60504,48,57,0.5163,0.7687,0.6177,28
lrmsCollection.json,28278,141,28,0.1986,2198271,61528,48,58,0.5163,0.7687,0.6177,28
lrmsCollection.json,28278,141,71,0.5035,2201823,62168,48,61,0.5163,0.7687,0.6177,28
lrmsCollection.json,28278,141,113,0.8014,2198207,61016,48,67,0.5163,0.7687,0.6177,29
lrmsCollection.json,28278,141,141,1.0000,2200575,58840,48,69,0.5163,0.7687,0.6177,26
lrmsCollection.json,28278,283,0,0.0000,2248055,106064,48,90,0.5163,0.7687,0.6177,29
lrmsCollection.json,28278,283,14,0.0495,2240551,98896,48,91,0.5163,0.7687,0.6177,30
lrmsCollection.json,28278,283,28,0.0989,2249527,107600,48,95,0.5163,0.7687,0.6177,30
lrmsCollection.json,28278,283,57,0.2014,2261111,111440,48,100,0.5163,0.7687,0.6177,29
lrmsCollection.json,28278,283,142,0.5018,2249879,104592,48,111,0.5163,0.7687,0.6177,29
lrmsCollection.json,28278,283,226,0.7986,2257335,104848,48,121,0.5163,0.7687,0.6177,29
lrmsCollection.json,28278,283,283,1.0000,2253479,109200,48,130,0.5163,0.7687,0.6177,27
lrmsCollection.json,28278,1414,0,0.0000,2608019,452200,48,298,0.7333,0.8121,0.7707,30
lrmsCollection.json,28278,1414,71,0.0502,2633875,462888,48,320,0.7333,0.8121,0.7707,31
lrmsCollection.json,28278,1414,141,0.0997,2614995,450152,48,333,0.7333,0.8121,0.7707,31
lrmsCollection.json,28278,1414,283,0.2001,2614739,439016,48,366,0.7333,0.8121,0.7707,31
lrmsCollection.json,28278,1414,707,0.5000,2663827,456104,48,466,0.7333,0.8121,0.7707,31
lrmsCollection.json,28278,1414,1131,0.7999,2654067,458408,48,561,0.7333,0.8121,0.7707,31
lrmsCollection.json,28278,1414,1414,1.0000,2659555,463656,48,630,0.7333,0.8121,0.7707,29
lrmsCollection.json,28278,2828,0,0.0000,3072663,877728,48,544,1.0000,1.0000,1.0000,31
lrmsCollection.json,28278,2828,141,0.0499,3094599,864160,48,581,1.0000,1.0000,1.0000,31
lrmsCollection.json,28278,2828,283,0.1001,3098727,873952,48,615,1.0000,1.0000,1.0000,32
lrmsCollection.json,28278,2828,566,0.2001,3078935,862944,48,681,1.0000,1.0000,1.0000,31
lrmsCollection.json,28278,2828,1414,0.5000,3192503,869408,48,904,1.0000,1.0000,1.0000,32
lrmsCollection.json,28278,2828,2262,0.7999,3175335,856160,48,1116,1.0000,1.0000,1.0000,31
lrmsCollection.json,28278,2828,2828,1.0000,3195959,876640,48,1228,1.0000,1.0000,1.0000,30
lrmsCollection.json,28278,5656,0,0.0000,4249607,1982304,48,1056,1.0000,1.0000,1.0000,31
lrmsCollection.json,28278,5656,283,0.0500,4227751,1962016,48,1128,1.0000,1.0000,1.0000,32
lrmsCollection.json,28278,5656,566,0.1001,4233911,1967328,48,1198,1.0000,1.0000,1.0000,31
