log,event_index,offline_ns,online_ns
Period20_procedure_steps_all_additional_event_types.json,393,,24666
Period20_procedure_steps_all_additional_event_types.json,394,,24167
Period20_procedure_steps_all_additional_event_types.json,395,,23375
Period20_procedure_steps_all_additional_event_types.json,396,,23584
Period20_procedure_steps_all_additional_event_types.json,397,,23208
Period20_procedure_steps_all_additional_event_types.json,398,,24417
Period20_procedure_steps_all_additional_event_types.json,399,,23459
Period20_procedure_steps_all_additional_event_types.json,400,,24000
Period20_procedure_steps_all_additional_event_types.json,401,19093500,68250
Period20_procedure_steps_all_additional_event_types.json,402,,26041
Period20_procedure_steps_all_additional_event_types.json,403,,25875
Period20_procedure_steps_all_additional_event_types.json,404,,25791
Period20_procedure_steps_all_additional_event_types.json,405,,26291
Period20_procedure_steps_all_additional_event_types.json,406,,48750
Period20_procedure_steps_all_additional_event_types.json,407,,29708
Period20_procedure_steps_all_additional_event_types.json,408,,26542
Period20_procedure_steps_all_additional_event_types.json,409,,25667
Period20_procedure_steps_all_additional_event_types.json,410,,24375
Period20_procedure_steps_all_additional_event_types.json,411,,24458
Period20_procedure_steps_all_additional_event_types.json,412,,23417
Period20_procedure_steps_all_additional_event_types.json,413,,25417
Period20_procedure_steps_all_additional_event_types.json,414,,24208
Period20_procedure_steps_all_additional_event_types.json,415,,24042
Period20_procedure_steps_all_additional_event_types.json,416,,26792
Period20_procedure_steps_all_additional_event_types.json,417,,27042
Period20_procedure_steps_all_additional_event_types.json,418,,23833
Period20_procedure_steps_all_additional_event_types.json,419,,23750
Period20_procedure_steps_all_additional_event_types.json,420,,23500
Period20_procedure_steps_all_additional_event_types.json,421,,24625
Period20_procedure_steps_all_additional_event_types.json,422,,25167
Period20_procedure_steps_all_additional_event_types.json,423,,24959
Period20_procedure_steps_all_additional_event_types.json,424,,26666
Period20_procedure_steps_all_additional_event_types.json,425,,49333
Period20_procedure_steps_all_additional_event_types.json,426,,26750
Period20_procedure_steps_all_additional_event_types.json,427,,25375
Period20_procedure_steps_all_additional_event_types.json,428,,24167
Period20_procedure_steps_all_additional_event_types.json,429,,23708
Period20_procedure_steps_all_additional_event_types.json,430,,23875
Period20_procedure_steps_all_additional_event_types.json,431,,24334
Period20_procedure_steps_all_additional_event_types.json,432,,24083
Period20_procedure_steps_all_additional_event_types.json,433,,24041
Period20_procedure_steps_all_additional_event_types.json,434,,25083
Period20_procedure_steps_all_additional_event_types.json,435,,24750
Period20_procedure_steps_all_additional_event_types.json,436,,33000
Period20_procedure_steps_all_additional_event_types.json,437,,26208
Period20_procedure_steps_all_additional_event_types.json,438,,25167
Period20_procedure_steps_all_additional_event_types.json,439,,24208
Period20_procedure_steps_all_additional_event_types.json,440,,24416
Period20_procedure_steps_all_additional_event_types.json,441,,24209
Period20_procedure_steps_all_additional_event_types.json,442,,24042
Period20_procedure_steps_all_additional_event_types.json,443,,25708
Period20_procedure_steps_all_additional_event_types.json,444,,25708
Period20_procedure_steps_all_additional_event_types.json,445,,25166
Period20_procedure_steps_all_additional_event_types.json,446,,25000
Period20_procedure_steps_all_additional_event_types.json,447,,24875
Period20_procedure_steps_all_additional_event_types.json,448,,25000
Period20_procedure_steps_all_additional_event_types.json,449,,24875
Period20_procedure_steps_all_additional_event_types.json,450,,25000
Period20_procedure_steps_all_additional_event_types.json,451,19037042,68750
Period20_procedure_steps_all_additional_event_types.json,452,,28584
Period20_procedure_steps_all_additional_event_types.json,453,,27541
Period20_procedure_steps_all_additional_event_types.json,454,,30125
Period20_procedure_steps_all_additional_event_types.json,455,,26458
Period20_procedure_steps_all_additional_event_types.json,456,,27625
Period20_procedure_steps_all_additional_event_types.json,457,,30375
Period20_procedure_steps_all_additional_event_types.json,458,,29542
Period20_procedure_steps_all_additional_event_types.json,459,,27542
Period20_procedure_steps_all_additional_event_types.json,460,,29750
Period20_procedure_steps_all_additional_event_types.json,461,,29500
Period20_procedure_steps_all_additional_event_types.json,462,,30625
Period20_procedure_steps_all_additional_event_types.json,463,,30625
Period20_procedure_steps_all_additional_event_types.json,464,,25833
Period20_procedure_steps_all_additional_event_types.json,465,,28084
Period20_procedure_steps_all_additional_event_types.json,466,,26125
Period20_procedure_steps_all_additional_event_types.json,467,,35125
Period20_procedure_steps_all_additional_event_types.json,468,,31500
Period20_procedure_steps_all_additional_event_types.json,469,,30541
Period20_procedure_steps_all_additional_event_types.json,470,,26833
Period20_procedure_steps_all_additional_event_types.json,471,,50250
Period20_procedure_steps_all_additional_event_types.json,472,,29958
Period20_procedure_steps_all_additional_event_types.json,473,,29166
Period20_procedure_steps_all_additional_event_types.json,474,,32291
Period20_procedure_steps_all_additional_event_types.json,475,,30792
Period20_procedure_steps_all_additional_event_types.json,476,,25708
Period20_procedure_steps_all_additional_event_types.json,477,,26958
Period20_procedure_steps_all_additional_event_types.json,478,,26791
Period20_procedure_steps_all_additional_event_types.json,479,,25291
Period20_procedure_steps_all_additional_event_types.json,480,,25709
Period20_procedure_steps_all_additional_event_types.json,481,,26667
Period20_procedure_steps_all_additional_event_types.json,482,,26458
Period20_procedure_steps_all_additional_event_types.json,483,,34250
Period20_procedure_steps_all_additional_event_types.json,484,,25584
Period20_procedure_steps_all_additional_event_types.json,485,,26542
Period20_procedure_steps_all_additional_event_types.json,486,,25625
Period20_procedure_steps_all_additional_event_types.json,487,,33000
Period20_procedure_steps_all_additional_event_types.json,488,,27667
Period20_procedure_steps_all_additional_event_types.json,489,,27375
Period20_procedure_steps_all_additional_event_types.json,490,,25584
Period20_procedure_steps_all_additional_event_types.json,491,,25833
Period20_procedure_steps_all_additional_event_types.json,492,,26500
Period20_procedure_steps_all_additional_event_types.json,493,,25666
Period20_procedure_steps_all_additional_event_types.json,494,,25542
Period20_procedure_steps_all_additional_event_types.json,495,,25500
Period20_procedure_steps_all_additional_event_types.json,496,,25042
